Collection,Nid,Title,Contributing Institution,Contributor,Coverage,Creator,Date Digital,Date Original (Precise),Date Original (Precise),Decade,Description,Digitization Specifications,Excerpt,Folder,Format,Image,Language,Publisher,Relation,Resource Identifier,Rights Management,Series,Source,Subject,Transcript,Type,Video
,,,,,,,,,,,,,,,,,,,,,,,,"Portraits, Group",,,
Back to the Land,39,Onion Seedlings,,,,unknown,11-Nov-09,,,,Preparing to plant out onion seedlings at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_xxx_birdsfoot_0111_sc.jpg,,,Back to the Land,,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, color; 4x6 in.",Communal living -- Canton (N.Y.); Farm Life -- Canton (N.Y.),,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Organic farming,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Onions,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Root crops,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Planting,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Vegetables, Transplanting",,,
Back to the Land,61,Displaying greens,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"Chuck Beeler, David Katz, and Dave Freidreich (sp?) growing for Green Growers cooperative.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0001_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 8x10 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,xlm_david_katz_0001b_sc.jpg,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Greens, Edible",,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
Back to the Land,62,Three men working in garden,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"David Katz, Doug Jones and unidentified man working in the fields at Birdsfoot.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0002_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 8x10 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,xlm_david_katz_0002b_sc.jpg,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Outbuildings,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
Back to the Land,63,Three men standing in field,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0003_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 8x10 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,xlm_david_katz_0003b_sc.jpg,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
Back to the Land,64,planting,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"David Katz, seated, transplanting greens with friends in the fields at Birdsfoot Farm.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0004_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x7 3/4 in. on 8x10 in board",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Planting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Children,,,
,,,,,,,,,,,,,,,,,,,,,,,,Seedlings,,,
Back to the Land,65,Fun in the Garden,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,David Katz and friends in the fields at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0005_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4 3/4x5 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
Back to the Land,66,two people playing in field,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0006_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x6 3/8 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,Recreation,,,
Back to the Land,68,Garden Fun,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"Group shot at Birdsfoot; Kathy Allen, Doug Jones, unknown woman, David Katz.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0007_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x5 1/8 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Portraits, Group",,,
Back to the Land,69,Discing-in a Cover Crop,,"Katz, David",Saint Lawrence River Valley,"Jones, Doug",20-Nov-09,,,,David Katz discing the fields at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0008_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x5 3/4 in.",Sustainable agriculture,,Image,
,,,,,North Country,,,,,,,,,,,,,,,,,,,Organic farming,,,
,,,,,Saint Lawrence County,,,,,,,,,,,,,,,,,,,Green manure crops,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm tractors,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harrowing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sowing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Soil management,,,
Back to the Land,71,Woman with child on lap,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,Valerie Summer with daughter Prairie Rose Summer on the Birdsfoot porch.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0009_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4x8 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Children,,,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Child rearing,,,
Back to the Land,72,Pause from Work,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"David Katz, Doug Jones and friends in the fields at Birdsfoot Farm.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0010_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4 7/8x7 3/4 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
Back to the Land,73,Mulched Tomatoes at Birdsfoot Farm,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0011_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5 1/2x8 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Tomatoes,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm produce,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mulching,,,
Back to the Land,74,Woman with child on lap 2,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,Valerie Summer with daughter Prairie Rose Summer on the Birdsfoot porch.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0012_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 3 5/8x7 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Children,,,
,,,,,,,,,,,,,,,,,,,,,,,,Child rearing,,,
Back to the Land,75,Woman with child on lap 3,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,Valerie Summer with daughter Prairie Rose Summer on the Birdsfoot porch.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0013_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 3 1/2x6 3/8 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Children,,,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Child rearing,,,
Back to the Land,76,Girl on Horse with Cattle,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,Phaedra Wilson riding horse Sinda at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0014_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4x7 3/4 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Animal husbandry,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cattle,,,
Back to the Land,77,Photograph - Aerial,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0015_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4 3/4x7 in.","Land use, Rural",,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Farms,,,
,,,,,,,,,,,,,,,,,,,,,,,,Meadows,,,
,,,,,,,,,,,,,,,,,,,,,,,,Orchards,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pastures,,,
,,,,,,,,,,,,,,,,,,,,,,,,Woodlots,,,
Back to the Land,78,Photograph - Aerial,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0016_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4 1/2x6 3/4 in.","Land use, Rural",,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Croplands,,,
,,,,,,,,,,,,,,,,,,,,,,,,Meadows,,,
,,,,,,,,,,,,,,,,,,,,,,,,Orchards,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pastures,,,
,,,,,,,,,,,,,,,,,,,,,,,,Woodlots,,,
Back to the Land,79,Photograph - Aerial,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0017_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 3 1/4x7 in.","Land use, Rural",,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Meadows,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pastures,,,
,,,,,,,,,,,,,,,,,,,,,,,,Woodlots,,,
Back to the Land,80,Tractor Ride,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0018_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4x8 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Farm Tractors,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birthday party,,,
,,,,,,,,,,,,,,,,,,,,,,,,Recreation,,,
,,,,,,,,,,,,,,,,,,,,,,,,Celebrations,,,
Back to the Land,81,Making Music,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"Fourth of July party at Birdsfoot Farm. Unknown woman with guitar, Chuck Beeler sitting on fence with banjo, Ron Nolland, unknown, Valerie Summer leaning over. then unknown, David Thaler, unknown, Rebecca Wilson laughing, unknown, David Katz with bass, Stephaine Farrell on right then +unknown child on far right. Circa 1980.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0020_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x7 3/4 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,,,,,,,,,,,,,,,,,,,,Entertaining,,,
,,,,,,,,,,,,,,,,,,,,,,,,Partying,,,
,,,,,,,,,,,,,,,,,,,,,,,,Parties,,,
,,,,,,,,,,,,,,,,,,,,,,,,Recreation,,,
,,,,,,,,,,,,,,,,,,,,,,,,Music,,,
Back to the Land,82,Birthday Party Tractor Ride,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"David Katz driving tractor at Birdsfoot circa late 1970's. On the wagon: left is Jean Dawson and Aria Wilson, to David's right is Phaedra Wilson, Valerie Summer and Alan Sirotkin.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0019_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x7 3/4 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm Tractors,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birthday Parties,,,
Central American Peace Project,83,Stop the Lies Flyer: Lie #1,,,,unknown,,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,capp_128_001.jpg,English,,Central American Peace Project,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; in.",Counterculture,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Alternative lifestyles,,,
Back to the Land,105,Making Yogurt,,Birdsfoot Farm,Canton (N.Y.),"Williams Bergen, Eric",18-Dec-09,,,,Yogurt making at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00295_sc.jpg,,,Back to the Land,Private Collection,This work is licensed under a Creative Commons Attribution-Noncommercial 3.0 United States License,,"Original version: photograph, color; 3 x 5 in.",Yogurt,,Image,
,,,,,Saint Lawrence County (N.Y),,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,North Country (N.Y.),,,,,,,,,,,,,,,,,,,Dairy products,,,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Natural Foods,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm produce,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dairy processing,,,
Back to the Land,92,Weeding and Thinning Spinach,,"Williams-Bergen, Eric",,"Williams Bergen, Eric",14-Dec-09,,,,Weeding and thinning a bed of spinach in the field called Violet at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00107_sc.jpg,,,Back to the Land,Private Collection,This work is licensed under a Creative Commons Attribution-Noncommercial 3.0 United States License,,"Original version: photograph, color; 4 x 6 in.",Spinach,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Weeding,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic farming,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Thinning,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
Back to the Land,93,Procesing Honey,,Birdsfoot Farm,,"Jones, Doug",14-Dec-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00108_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, color; 8 x 12 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm produce,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food processing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Honey,,,
,,,,,,,,,,,,,,,,,,,,,,,,Natural foods,,,
Back to the Land,94,Birdsfooters at Sunset Rock,,Birdsfoot Farm,,"Jones, Doug",14-Dec-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00109_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, color; 5 x 7 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,xlm_mss_158_birdsfoot_00109b_sc.jpg,,,,,,,,"Portraits, Group",,,
,,,,,,,,,,,,,,,,,,,,,,,,Meadows,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pastures,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sense of place,,,
Back to the Land,95,Washing Lettuce,,Birdsfoot Farm,,"Jones, Doug",14-Dec-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00110_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, color; 8 x 12 in.",Organic farming,,Image,
