"Contributing Institution","Contributor","Coverage","Creator","Date Digital","Date Original (Precise)","Date Original (Precise)","Decade","Description","Digitization Specifications","Excerpt","Folder","Format","Image","Language","Publisher","Relation","Resource Identifier","Rights Management","Series","Source","Subject","Transcript","Type","Video"
"","Katz, David","","Jones, Doug","November 20, 2009","","","","Group shot at Birdsfoot; Kathy Allen, Doug Jones, unknown woman, David Katz.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.","","","image/jpeg","xlm_david_katz_0007_sc.jpg","","","Back to the Land","Private Collection","Original materials may be protected by the Copyright Law of the United States (more information).","","Original version:  photograph, b&w; 5x5 1/8 in.","Organic farmingSustainable agricultureBirdsfoot FarmOrganic gardeningGardensVegetable gardeningFarm lifePortraits, Group","","Image",""
"","Katz, David","Saint Lawrence River ValleyNorth CountrySaint Lawrence County","Jones, Doug","November 20, 2009","","","","David Katz discing the fields at Birdsfoot Farm.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.","","","image/jpeg","xlm_david_katz_0008_sc.jpg","","","Back to the Land","Private Collection","Original materials may be protected by the Copyright Law of the United States (more information).","","Original version:  photograph, b&w; 5x5 3/4 in.","Sustainable agricultureOrganic farmingGreen manure cropsFarm tractorsHarrowingSowingSoil management","","Image",""
"","Katz, David","","Jones, Doug","November 20, 2009","","","","Valerie Summer with daughter Prairie Rose Summer on the Birdsfoot porch.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.","","","image/jpeg","xlm_david_katz_0009_sc.jpg","","","Back to the Land","Private Collection","Original materials may be protected by the Copyright Law of the United States (more information).","","Original version:  photograph, b&w; 4x8 in.","Birdsfoot FarmChildrenPorchesChild rearing","","Image",""
"","Katz, David","","Jones, Doug","November 20, 2009","","","","David Katz, Doug Jones and friends in the fields at Birdsfoot Farm.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.","","","image/jpeg","xlm_david_katz_0010_sc.jpg","","","Back to the Land","Private Collection","Original materials may be protected by the Copyright Law of the United States (more information).","","Original version:  photograph, b&w; 4 7/8x7 3/4 in.","Organic farmingSustainable agricultureBirdsfoot FarmGardensOrganic gardeningVegetable gardening","","Image",""
"","Katz, David","","Jones, Doug","November 20, 2009","","","","","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.","","","image/jpeg","xlm_david_katz_0011_sc.jpg","","","Back to the Land","Private Collection","Original materials may be protected by the Copyright Law of the United States (more information).","","Original version:  photograph, b&w; 5 1/2x8 in.","Organic farmingSustainable agricultureTomatoesOrganic gardeningVegetable gardeningFarm produceGardensMulching","","Image",""
"","Katz, David","","Jones, Doug","November 20, 2009","","","","Valerie Summer with daughter Prairie Rose Summer on the Birdsfoot porch.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.","","","image/jpeg","xlm_david_katz_0012_sc.jpg","","","Back to the Land","Private Collection","Original materials may be protected by the Copyright Law of the United States (more information).","","Original version:  photograph, b&w; 3 5/8x7 in.","Birdsfoot FarmPorchesChildrenChild rearing","","Image",""
"","Katz, David","","Jones, Doug","November 20, 2009","","","","Valerie Summer with daughter Prairie Rose Summer on the Birdsfoot porch.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.","","","image/jpeg","xlm_david_katz_0013_sc.jpg","","","Back to the Land","Private Collection","Original materials may be protected by the Copyright Law of the United States (more information).","","Original version:  photograph, b&w; 3 1/2x6 3/8 in.","Birdsfoot FarmChildrenPorchesChild rearing","","Image",""
"","Katz, David","","Jones, Doug","November 20, 2009","","","","Phaedra Wilson riding horse Sinda at Birdsfoot Farm.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.","","","image/jpeg","xlm_david_katz_0014_sc.jpg","","","Back to the Land","Private Collection","Original materials may be protected by the Copyright Law of the United States (more information).","","Original version:  photograph, b&w; 4x7 3/4 in.","Organic farmingSustainable agricultureBirdsfoot FarmAnimal husbandryCattle","","Image",""
"","Katz, David","","Jones, Doug","November 20, 2009","","","","","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.","","","image/jpeg","xlm_david_katz_0015_sc.jpg","","","Back to the Land","Private Collection","Original materials may be protected by the Copyright Law of the United States (more information).","","Original version:  photograph, b&w; 4 3/4x7 in.","Land use, RuralFarmsMeadowsOrchardsPasturesWoodlots","","Image",""
"","Katz, David","","Jones, Doug","November 20, 2009","","","","","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.","","","image/jpeg","xlm_david_katz_0016_sc.jpg","","","Back to the Land","Private Collection","Original materials may be protected by the Copyright Law of the United States (more information).","","Original version:  photograph, b&w; 4 1/2x6 3/4 in.","Land use, RuralCroplandsMeadowsOrchardsPasturesWoodlots","","Image",""
